epochs,batch,neurons,activation,signal_noise_ratio_train,signal_noise_ratio_val,signal_noise_ratio_test,X_train_len,X_val_len,X_test_len,auc,soft_auc,f1,test_acc,training_accuracy_mean,validation_accuracy_mean,training_accuracy_std,validation_accuracy_std,training_loss_mean,validation_loss_mean,training_loss_std,validation_loss_std,scaler,paradigm
392,73,32,1,0.455,0.939,0.534,12999,2999,2999,0.6093909028602473,0.6884596447677997,0.6899754165528544,0.6215404868125916,0.6315485239028931,0.6403801262378692,0.0011934001231566072,0.09466925965361137,0.6378438455658296,0.7049349043698421,0.00010462705094286184,0.08363041106576395,0,1
93,58,39,0,0.561,0.165,0.352,12999,2999,2999,0.8031158078115881,0.7804884702736988,0.7345938375350141,0.7472490668296814,0.8359796404838562,0.7092697620391846,0.001522505539469421,0.006299272043777649,0.4296259965547846,0.5255683069210841,0.003259485080959972,0.015141257572583732,1,1
226,77,9,0,0.649,0.847,0.146,12999,2999,2999,0.7814497615318907,0.7995626601651481,0.4459530026109661,0.6462153792381287,0.8562735319137573,0.934978324174881,0.0004692747024819255,0.0014146800437991448,0.38095086236345427,0.2795091365358757,0.0006416638177415672,0.00333874491618193,1,0
266,45,16,2,0.282,0.742,0.782,12999,2999,2999,0.4969418960244648,0.706851717819813,0.0,0.21673890948295593,0.7177321314811707,0.25741914808750155,0.0004182591219432652,0.0006833670165891382,0.5501587562154684,0.9257536477011495,0.0005642768913243715,0.046845017472981546,0,1
157,92,6,1,0.376,0.687,0.079,12999,2999,2999,0.7397004861028362,0.7906687198477225,0.3087719298245615,0.7372457385063171,0.7288329601287842,0.7154718160629272,0.0037051404360681772,0.024618083645402473,0.5130745927403364,0.5836558148458664,0.0008762634271638717,0.011742385199031867,1,0
83,60,10,0,0.319,0.254,0.06,12999,2999,2999,0.5,0.6715600488746996,0.0,0.9399799704551697,0.6805907487869263,0.7459152936935425,5.960464477539063e-08,0.0,0.5865584131169479,0.5383325448649133,0.0010630636505480975,0.0029739894208601144,0,1
82,91,32,1,0.306,0.83,0.771,12999,2999,2999,0.5,0.698167538277123,0.0,0.22874291241168976,0.6938995122909546,0.17005668580532074,0.0,0.0,0.577764199650859,0.9652261414162991,0.0008616711171176249,0.021843987343493274,0,1
229,64,27,1,0.763,0.462,0.173,12999,2999,2999,0.5515670644539747,0.6765332680713531,0.3177860696517413,0.26842281222343445,0.7730902433395386,0.5294431388378144,0.0006511362153105438,0.004667745146026436,0.5053739627367424,0.818786790079576,0.00010684182258939742,0.023346830132847156,0,1
286,32,16,2,0.161,0.432,0.664,12999,2999,2999,0.5,0.6907986413733682,0.0,0.33644548058509827,0.8388336896896362,0.5675225257873535,5.960464477539063e-08,0.0,0.4160462386382274,0.8198373135466224,0.00028151378399898953,0.051793613820067065,0,1
294,27,23,0,0.281,0.175,0.952,12999,2999,2999,0.5003502626970228,0.7326255107997663,0.001400070003500175,0.04868289455771446,0.7187706828117371,0.8245748400688171,0.00022310842177830637,0.0014024301127095855,0.5295734654514502,0.4418199955795995,0.0004980929962821277,0.01179482880338353,0,1
